Title,Title_Transliterated,Author,Subject,Date,PDF_URL
كتاب المواعظ والاعتبار : 4,Kitāb al-mawāʻiẓ wa-al-iʻtibār 4,"['Maqrīzī, Aḥmad ibn ʻAlī, 1364-1442', 'Maqrīzī, Aḥmad ibn ʻAlī, 1364-1442']","[['Caravans', 'Egypt', 'Cairo', 'Early works to 1800'], ['Markets', 'Egypt', 'Cairo', 'Early works to 1800'], ['Egypt', 'History', 'Early works to 1800'], ['Egypt', 'Antiquities', 'Early works to 1800'], ['Egypt', 'Description and travel', 'Early works to 1800'], ['Egypt', 'hitory', 'early works to 1800']]",1906,http://mc.dlib.nyu.edu/files/books/uaena_aco000071/uaena_aco000071_lo.pdf
كتاب العقد الفريد 5,Kitāb al-ʻIqd al-farīd 5,"['Ibn ʻAbd Rabbih, Aḥmad ibn Muḥammad, 860-940', 'Ibyārī, Ibrāhīm, 1902-1994', 'Zayn, A.hmad.', 'Amīn, A.hmad, 1886-1954']","[['Arabic literature', 'History and criticism', 'Early works to 1800'], ['Arabic language', 'Versification', 'Early works to 1800'], ['Arabic poetry', 'History and criticism', 'Early works to 1800'], ['Islamic civilization', 'Sources']]",1940,http://mc.dlib.nyu.edu/files/books/uaena_aco000020/uaena_aco000020_lo.pdf
كتاب التوفيقات الإلهامية في مقارنة التواريخ الهجرية بالسنين الإفرنكية والقبطية,Kitāb al-tawfīqāt al-ilhāmīyah fī muqāranat al-tawārīkh al-Hijrīyah bi-al-sinīn al-Ifrankīyah wa-al-Qibṭīyah,"['Mukhtār, Muḥammad, 1835-1897']","[['Islamic calendar', 'Liturgy'], ['Calendar, Gregorian', 'Litugry'], ['Coptic calendar', 'Litugry'], ['Chronology, Historical'], ['Islamic calendar'], ['Calendar, Gregorian'], ['Coptic calendar']]",1893,http://mc.dlib.nyu.edu/files/books/uaena_aco000009/uaena_aco000009_lo.pdf
كتاب محيط المحيط : 2,Kitāb Muḥīṭ al-muḥīṭ 2,"['Bustānī, Buṭrus ibn Būlus, 1818 or 1819-1882 or 1883']","[['Arabic language', 'Dictionaries']]",1867,http://mc.dlib.nyu.edu/files/books/uaena_aco000002/uaena_aco000002_lo.pdf
المزهر في علوم اللغة وانواعها  / 1,al- Muzhir fī ʻulūm al-lughah wa-anwāʻihā 1,"['Suyūṭī, 1445-1505']",[['Arabic language']],1907,http://mc.dlib.nyu.edu/files/books/uaena_aco000106/uaena_aco000106_lo.pdf
جامع الزيتونة :‎ 2,Jāmiʻ al-Zaytūnah 2,['n.a.'],"[['Jāmiʻ al-Zaytūnah (Tunis, Tunisia).', 'al-Maktabah al-Ṣādqiyah', 'Catalogs'], ['Jāmiʻ al-Zaytūnah (Tunis, Tunisia).', 'al-Maktabah al-ʻAbddaliyah', 'Catalogs'], ['Manuscripts, Arabic', 'Tunisia', 'Catalogs']]",1908,http://mc.dlib.nyu.edu/files/books/uaena_aco000112/uaena_aco000112_lo.pdf
جامع الزيتونة :‎ 1,Jāmiʻ al-Zaytūnah 1,['n.a.'],"[['Jāmiʻ al-Zaytūnah (Tunis, Tunisia).', 'al-Maktabah al-Ṣādqiyah', 'Catalogs'], ['Jāmiʻ al-Zaytūnah (Tunis, Tunisia).', 'al-Maktabah al-ʻAbddaliyah', 'Catalogs'], ['Manuscripts, Arabic', 'Tunisia', 'Catalogs']]",1908,http://mc.dlib.nyu.edu/files/books/uaena_aco000111/uaena_aco000111_lo.pdf
رحلات/‎ 1,Riḥlāt 1,"['ʻAzzām, ʻAbd al-Wahhāb, 1894-1959, author.']","[['Islamic countries', 'Description and travel'], ['Middle East', 'Description and travel'], ['Iran', 'Description and travel'], ['Iraq', 'Description and travel'], ['Turkey', 'Description and travel']]",1939,http://mc.dlib.nyu.edu/files/books/uaena_aco000110/uaena_aco000110_lo.pdf
تاريخ شرقي الأردن وقبائلها/‎ 1,Tārīkh sharqī al-Urdun wa qabāʼilhā 1,"['Peake, Frederick Gerard, 1886-', 'Tūqān, Bahāʼ al-Dīn, Translator.']","[['Primitive societies', 'Jordan'], ['Anthropology', 'Jordan'], ['Tribes', 'Jordan'], ['Nomads', 'Jordan'], ['Jordan', 'Genealogy'], ['Jordan', 'History']]",1935,http://mc.dlib.nyu.edu/files/books/uaena_aco000109/uaena_aco000109_lo.pdf
الجغرافيا العسكرية للشرق الاوسط/‎ 1,al- Jughrāfīyā al-ʻaskarīyah lil-Sharq al-Awsaṭ 1,['n.a.'],"[['Military geography', 'Middle East'], ['Military geography', 'Arab countries']]",1948,http://mc.dlib.nyu.edu/files/books/uaena_aco000108/uaena_aco000108_lo.pdf
سبائك الذهب في معرفة قبائل العرب /‎ 1,Sabāʼik al-dhahab fī maʻrifat qabāʼil al-ʻArab 1,"['Suwaydī, Muḥammad Amīn, -1830 or 1831']","[['Arabs', 'Genealogy'], ['Arabian Peninsula', 'Genealogy']]",1921,http://mc.dlib.nyu.edu/files/books/uaena_aco000107/uaena_aco000107_lo.pdf
مسند الامام زيد :‎ 1,Musnad al-imām Zayd 1,"['Zayd ibn ʻAlī, -740', 'Ṣadafī, Bakr bin Muḥammad ʻĀshūr al-Ḥanafī, writer of introduction.', 'Kāẓim, ʻAlī al-Riḍá bin Mūsá.']","[['Islamic law'], ['Hadith']]",1921,http://mc.dlib.nyu.edu/files/books/uaena_aco000105/uaena_aco000105_lo.pdf
كتاب مشاهد الممالك :‎ 1,Kitāb mashāhid al-mamālik 1,"['Elias, Edward Elias']","[['Tunisia', 'Description and travel'], ['Europe', 'Description and travel'], ['United States', 'Description and travel'], ['Algeria', 'Description and travel'], ['Balkan Peninsula', 'Description and travel'], ['Bulgaria', 'Description and travel'], ['Greece', 'Description and travel'], ['Syria', 'Description and travel'], ['Lebanon', 'Description and travel']]",1910,http://mc.dlib.nyu.edu/files/books/uaena_aco000104/uaena_aco000104_lo.pdf
حضارة الاسلام في دار السلام /‎ 1,Ḥaḍārat al-Islām fī Dār al-Salām 1,"['Mudawwar, Jamīl Nakhlah.']","[['Islamic civilization'], ['Iraq', 'History', 'Abbasids'], ['Arab world', 'History', 'Abbasids'], ['Baghdad (Iraq)', 'History']]",1932,http://mc.dlib.nyu.edu/files/books/uaena_aco000103/uaena_aco000103_lo.pdf
كتاب المختصر في اخبار البشر /‎ 1,Kitāb al-mukhtaṣar fī akhbār al-bashar 1,"['Abū al-Fidāʼ Ismāʻīl ibn ʻAlī, 1273-1331']","[['Islamic Empire', 'History', 'Early works to 1800']]",1907,http://mc.dlib.nyu.edu/files/books/uaena_aco000102/uaena_aco000102_lo.pdf
الكافي في تاريخ مصر القديم والحديث /‎ 4,al- Kāfī fī tārīkh Miṣr al-qadīm wa-al-ḥadīth 4,"['Shārūbīm, Mīkhāʼīl, 1853-1918']","[['Egypt', 'History', '1798-']]",1898,http://mc.dlib.nyu.edu/files/books/uaena_aco000101/uaena_aco000101_lo.pdf
الكافي في تاريخ مصر القديم والحديث /‎ 3,al- Kāfī fī tārīkh Miṣr al-qadīm wa-al-ḥadīth 3,"['Shārūbīm, Mīkhāʼīl, 1853-1918']","[['Egypt', 'History', '1798-']]",1898,http://mc.dlib.nyu.edu/files/books/uaena_aco000100/uaena_aco000100_lo.pdf
الكافي في تاريخ مصر القديم والحديث /‎ 2,al- Kāfī fī tārīkh Miṣr al-qadīm wa-al-ḥadīth 2,"['Shārūbīm, Mīkhāʼīl, 1853-1918']","[['Egypt', 'History', '1798-']]",1898,http://mc.dlib.nyu.edu/files/books/uaena_aco000099/uaena_aco000099_lo.pdf
الكافي في تاريخ مصر القديم والحديث /‎ 1,al- Kāfī fī tārīkh Miṣr al-qadīm wa-al-ḥadīth 1,"['Shārūbīm, Mīkhāʼīl, 1853-1918']","[['Egypt', 'History', '1798-']]",1898,http://mc.dlib.nyu.edu/files/books/uaena_aco000098/uaena_aco000098_lo.pdf
كتاب تقويم البلدان /‎ 1,Kitāb taqwīm al-buldān 1,"['Abū al-Fidāʼ Ismāʻīl ibn ʻAlī, 1273-1331', 'Reinaud, Joseph Toussaint, 1795-1867', 'Slane, William MacGuckinbaron de, 1801-1878']","[['Geography, Medieval'], ['Geography', '13th Cetnury'], ['Geography', '14th Cetnury'], ['Islamic countries', 'Description and travel']]",1840,http://mc.dlib.nyu.edu/files/books/uaena_aco000097/uaena_aco000097_lo.pdf
حقائق الأخبار عن دول البحار /‎ 2,Ḥaqāʼiq al-akhbār ʻan duwal al-biḥār 2,"['Sarhank, Ismāʻīl.', 'Ḥusayanī, Muḥammad Sādiq, editor.', 'Muṣṭafá, Maḥmmūd, editor.']","[['Africa, North', 'History, Naval'], ['Middle East', 'History, Naval'], ['Egypt', 'History']]",1897,http://mc.dlib.nyu.edu/files/books/uaena_aco000096/uaena_aco000096_lo.pdf
حقائق الأخبار عن دول البحار /‎ 1,Ḥaqāʼiq al-akhbār ʻan duwal al-biḥār 1,"['Sarhank, Ismāʻīl.', 'Ḥusayanī, Muḥammad Sādiq, editor.', 'Muṣṭafá, Maḥmmūd, editor.']","[['Africa, North', 'History, Naval'], ['Middle East', 'History, Naval'], ['Egypt', 'History']]",1897,http://mc.dlib.nyu.edu/files/books/uaena_aco000095/uaena_aco000095_lo.pdf
على هامش التاريخ المصري القديم /‎ 1,ʻAlá Hāmish al-tārīkh al-miṣrī al-qadīm 1,"['Ḥamzah, ʻAbd al-Qādir, 1879 or 1880-1941, author.']","[['Pharaonic antiquities'], ['Egypt', 'History'], ['Egypt', 'Antique'], ['Egypt', 'Civilization', 'To 332 B. C'], ['Egypt', 'Civilization', 'To 640 B. C'], ['Egypt', 'Civilization']]",1940,http://mc.dlib.nyu.edu/files/books/uaena_aco000094/uaena_aco000094_lo.pdf
كتاب سلافة العصر :‎ 1,Kitāb sulāfat al-ʻaṣr 1,"['Ibn Maʻṣūm, ʻAlī ibn Aḥmad, 1642-approximately 1707, author.']","[['Arabic poetry', 'Early works to 1800'], ['Poets, Arab', 'Early works to 1800'], ['Arabic poetry', 'History and criticism', '1258-1800']]",1906,http://mc.dlib.nyu.edu/files/books/uaena_aco000093/uaena_aco000093_lo.pdf
أشعار أولاد الخلفاء وأخبارهم من كتاب الأوراق,Ashʻār awlād al-khulafāʼ wa-akhbāruhum min Kitāb al-awrāq,"['Ṣūlī, Muḥammad ibn Yaḥyá, -approximately 947, author.']",[['Abbasids']],1936,http://mc.dlib.nyu.edu/files/books/aub_aco004745/aub_aco004745_lo.pdf
ديوان العدنانيات v.5,Dīwān al-ʻAdnānīyāt v.5,"['ʻAdnānī, Muḥammad., author.']","[['Arabic poetry'], ['Arab nationalism']]",1954,http://mc.dlib.nyu.edu/files/books/aub_aco004743/aub_aco004743_lo.pdf
ديوان العدنانيات v.4,Dīwān al-ʻAdnānīyāt v.4,"['ʻAdnānī, Muḥammad., author.']","[['Arabic poetry'], ['Arab nationalism']]",1954,http://mc.dlib.nyu.edu/files/books/aub_aco004742/aub_aco004742_lo.pdf
ديوان العدنانيات v.3,Dīwān al-ʻAdnānīyāt v.3,"['ʻAdnānī, Muḥammad., author.']","[['Arabic poetry'], ['Arab nationalism']]",1954,http://mc.dlib.nyu.edu/files/books/aub_aco004741/aub_aco004741_lo.pdf
ديوان العدنانيات v.2,Dīwān al-ʻAdnānīyāt v.2,"['ʻAdnānī, Muḥammad., author.']","[['Arabic poetry'], ['Arab nationalism']]",1954,http://mc.dlib.nyu.edu/files/books/aub_aco004740/aub_aco004740_lo.pdf
ديوان العدنانيات v.1,Dīwān al-ʻAdnānīyāt v.1,"['ʻAdnānī, Muḥammad., author.']","[['Arabic poetry'], ['Arab nationalism']]",1954,http://mc.dlib.nyu.edu/files/books/aub_aco004739/aub_aco004739_lo.pdf
لمن؟,Li-man?,"['Adīb, Albīr., author.']","[['Provider:'], ['American University of Beirut']]",1952,http://mc.dlib.nyu.edu/files/books/aub_aco004738/aub_aco004738_lo.pdf
أبو الفرج الأصبهاني,Abū al-Faraj al-Iṣbahānī,"['Jabrī, Shafīq., author.']","[['Abū al-Faraj al-Iṣbahānī', '897 or 898-967'], ['Authors, Arab', 'Biography']]",1955,http://mc.dlib.nyu.edu/files/books/aub_aco004737/aub_aco004737_lo.pdf
إيليا أبو ماضي :,Īlīyā Abū Maḍī,"['Mīrzā, Zuhayr., author.']","[['Abū Māḍī, Īlīyā', '1889-1957', 'Biograhy'], ['Arabic Poetry', 'America'], ['Arabic Poetry', 'Foreign countries', 'History and criticism'], ['Arabic literature', 'History and criticism']]",1954,http://mc.dlib.nyu.edu/files/books/aub_aco004736/aub_aco004736_lo.pdf
السعيديات، أو، ديوان سعيد أبو بكر. v.1,"al-Saʻīdīyāt, aw, dīwān Saʻīd Abū Bakr v.1","['Abū Bakr, Saʻīd, 1899-1948, author.']","[['Provider:'], ['American University of Beirut']]",1927,http://mc.dlib.nyu.edu/files/books/aub_aco004735/aub_aco004735_lo.pdf
رسالة الأديب,Risālat al-adīb,"['Abū Qaws, ʻAbd al-Raḥmān., author.']","[['قصيدة النثر العربية'], ['Arabic prose literature']]",1944,http://mc.dlib.nyu.edu/files/books/aub_aco004734/aub_aco004734_lo.pdf
اخبار ابي تمام,Akhbār Abī Tammām,"['Ṣūlī, Muḥammad ibn Yaḥyá, -approximately 947, author.', 'Azzam, Muhammad Abduh., annotator.', 'Azzam, Muhammad Abduh., commentator for written text.', 'Hindī, Naẓīr al-Islām., annotator.', 'Hindī, Naẓīr al-Islām., commentator for written text.', 'ʻAsākir, Khalīl Maḥmūd, annotator.', 'ʻAsākir, Khalīl Maḥmūd, commentator for written text.']","[['ابو تمام حبيب بن أوس الطائي،', 'اشتهر في العام 808-842', 'نقد وتأويل'], ['Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī', 'active 808-842', 'Criticism and interpretation']]",1937,http://mc.dlib.nyu.edu/files/books/aub_aco004733/aub_aco004733_lo.pdf
أبو تمام,Abū Tammām,"['Sulṭān, Jamīl., author.']","[['ابو تمام حبيب بن أوس الطائي،', 'اشتهر في العام 808-842', 'نقد وتأويل'], ['Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī', 'active 808-842', 'Criticism and interpretation'], ['الشعراء العرب', 'تراجم'], ['Poets, Arab', 'Biography']]",1950,http://mc.dlib.nyu.edu/files/books/aub_aco004732/aub_aco004732_lo.pdf
أبو تمام الطائي :,Abū Tammām al-Ṭāʼī,"['Bahbītī, Najīb Muḥammad., author.']","[['ابو تمام حبيب بن أوس الطائي،', 'اشتهر في العام 808-842', 'نقد وتأويل'], ['Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī', 'active 808-842', 'Criticism and interpretation']]",1945,http://mc.dlib.nyu.edu/files/books/aub_aco004731/aub_aco004731_lo.pdf
هبة الأيام فيما يتعلق بأبي تمام,Hibat al-ayyām fīmā yataʻallaqu bi-Abī Tammām,"['Badīʻī, Yūsuf, -1662 or 1663, compiler.', 'Muṣṭafá, Maḥmūd, compiler.']","[['ابو تمام حبيب بن أوس الطائي،', 'اشتهر في العام 808-842'], ['Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī', 'active 808-842']]",1934,http://mc.dlib.nyu.edu/files/books/aub_aco004729/aub_aco004729_lo.pdf
ليال خمس مع أبي تمام,Layālin khams maʻa Abī Tammām,"['ʻAzzām, Muḥammad ʻAbduh., author.']","[['ابو تمام حبيب بن أوس الطائي،', 'اشتهر في العام 808-842'], ['Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī', 'active 808-842']]",1948,http://mc.dlib.nyu.edu/files/books/aub_aco004728/aub_aco004728_lo.pdf
مختارات من أبي تمام.,Mukhtārāt min Abī Tammām,"['Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī, active 808-842, author.']","[['Provider:'], ['American University of Beirut']]",1952,http://mc.dlib.nyu.edu/files/books/aub_aco004727/aub_aco004727_lo.pdf
همزيات أبي تمام,Hamziyāt Abī Tammām,"['Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī, active 808-842, author.', 'Hārūn, ʻAbd al-Salām Muḥammad., compiler.']","[['ابو تمام حبيب بن أوس الطائي،', 'اشتهر في العام 808-842', 'شعر'], ['Abū Tammām Ḥabīb ibn Aws al-Ṭāʼī', 'active 808-842', 'Poems']]",1942,http://mc.dlib.nyu.edu/files/books/aub_aco004726/aub_aco004726_lo.pdf
روح لاجئ :,Rūḥ lājiʼ,"['ʻĀbid,ʻĀbid Yūsuf, author.']","[['Provider:'], ['American University of Beirut']]",1955,http://mc.dlib.nyu.edu/files/books/aub_aco004725/aub_aco004725_lo.pdf
زوابع,Zawābiʻ,"['ʻAbbūd, Mārūn., author.']","[['Provider:'], ['American University of Beirut']]",1946,http://mc.dlib.nyu.edu/files/books/aub_aco004724/aub_aco004724_lo.pdf
عنوان النشيد,ʻUnwān al-nashīd,"['Abū al-Wafā, Maḥmūd., author.']","[['Provider:'], ['American University of Beirut']]",1951,http://mc.dlib.nyu.edu/files/books/aub_aco004723/aub_aco004723_lo.pdf
أشواق,Ashwāq,"['Abū al-Wafāʼ, Muḥammad., author.']","[['Provider:'], ['American University of Beirut']]",1941,http://mc.dlib.nyu.edu/files/books/aub_aco004722/aub_aco004722_lo.pdf
